humidity,Rain
86,0
88,0
85,0
64,0
53,0
57,0
77,0
79,1
84,0
85,0
80,0
62,0
53,0
59,1
76,0
77,0
84,0
85,1
83,1
64,0
49,0
51,0
70,0
73,0
75,0
78,1
76,0
62,1
53,0
60,1
77,0
85,1
88,0
88,0
87,0
66,0
51,0
54,0
73,0
75,0
77,0
80,0
78,0
60,0
50,0
57,0
77,1
78,1
81,0
84,0
80,1
60,0
53,0
57,1
71,0
74,0
76,0
79,0
78,0
58,0
49,0
54,0
73,0
76,0
78,0
80,0
79,0
61,0
48,0
50,0
71,1
78,1
80,0
81,0
81,0
63,0
51,0
58,0
74,0
77,0
80,0
79,0
82,0
68,0
60,1
65,0
81,1
83,0
87,0
89,0
85,0
70,0
61,0
58,0
72,0
76,0
83,0
89,1
88,1
68,1
50,0
50,0
66,0
71,0
77,0
82,0
84,0
67,0
56,0
63,1
84,0
87,1
88,0
89,1
92,0
76,0
63,0
78,1
89,0
90,0
90,0
89,0
87,0
71,0
67,0
70,1
81,0
82,0
83,0
86,0
85,0
66,0
50,0
50,0
70,0
68,0
73,0
79,0
77,0
60,0
46,0
54,0
63,0
74,0
72,0
74,0
70,0
58,0
47,0
55,1
71,0
71,0
74,0
76,0
77,0
63,0
47,0
56,1
75,0
77,0
81,0
83,0
81,0
65,0
54,0
57,1
79,0
79,1
82,0
83,1
79,1
66,0
52,0
51,0
67,0
70,0
72,0
73,0
75,0
60,0
48,0
47,0
68,0
70,0
70,0
70,0
73,0
60,0
51,0
51,0
73,0
76,0
79,0
81,0
79,0
62,0
51,0
56,1
76,0
80,1
80,1
82,0
77,0
63,0
55,0
53,1
72,0
70,0
73,0
74,0
74,0
57,0
46,0
44,0
63,0
68,0
70,0
71,0
72,0
56,0
47,0
45,0
60,0
79,0
81,0
84,0
78,0
59,0
45,0
45,0
64,0
78,0
81,0
84,0
77,0
60,0
47,0
47,0
66,0
75,0
80,1
82,1
77,0
59,0
49,0
47,0
61,0
68,0
78,0
83,0
74,0
57,0
44,0
46,0
67,1
75,0
78,0
80,0
79,0
63,0
55,0
69,1
85,0
89,0
90,0
90,0
85,0
70,0
57,0
59,0
78,0
82,0
84,0
86,0
82,0
